LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .K. Looney",GSW,15,172,116.7,98.0,18.7,68.8,2.41,20.3,35.6,79.1,57.1,0.1,54.7,56.3,97.05,58.2
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .J. Poole",GSW,19,104,123.2,109.4,13.8,69.6,3.09,21.6,24.2,66.7,47.5,0.1,60.1,64.0,104.97,58.2
".S. Curry, .K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins",GSW,11,72,124.8,120.1,4.7,73.9,2.55,23.6,23.6,68.7,48.4,0.1,67.1,69.9,99.31,56.5
".K. Thompson, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,7,45,119.5,102.2,17.3,62.2,2.09,18.9,26.1,68.3,46.0,0.1,56.9,59.4,94.05,50.6
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Poole",GSW,14,39,114.4,110.5,4.0,56.8,2.10,17.6,24.3,75.6,51.3,0.1,58.9,62.3,107.19,54.0
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,10,33,108.5,87.1,21.3,66.7,1.50,18.9,21.4,73.9,54.1,0.2,62.7,66.3,101.29,69.1
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .G. Payton II",GSW,9,27,93.3,105.9,-12.5,68.2,1.25,18.5,23.1,65.6,46.6,0.2,53.1,54.8,112.58,43.0
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .J. Kuminga",GSW,6,25,91.1,133.3,-42.3,72.7,1.45,21.1,16.7,80.0,45.5,0.2,51.1,52.6,106.79,33.8
".N. Bjelica, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,5,23,90.2,82.0,8.2,64.7,1.22,16.2,23.1,87.0,53.1,0.2,51.2,53.2,106.45,52.8
".K. Thompson, .O. Porter Jr., .K. Looney, .D. Lee, .J. Poole",GSW,4,21,106.8,107.0,-0.2,47.1,0.89,14.5,18.8,81.8,55.3,0.2,60.6,65.1,99.90,52.1
".N. Bjelica, .K. Thompson, .D. Green, .A. Wiggins, .J. Poole",GSW,5,19,100.0,107.9,-7.9,69.2,1.50,18.8,6.3,63.6,39.5,0.2,53.4,59.2,95.58,46.9
".S. Curry, .K. Thompson, .O. Porter Jr., .K. Looney, .J. Poole",GSW,7,18,93.2,111.1,-17.9,56.3,1.80,14.8,36.0,69.6,52.1,0.1,41.5,46.5,119.96,39.3
".S. Curry, .D. Green, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,5,17,123.7,92.3,31.4,88.2,1.88,26.8,25.0,85.0,62.5,0.2,70.0,71.4,106.41,68.9
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .G. Payton II",GSW,4,15,141.9,103.4,38.5,60.0,3.00,21.4,20.0,53.3,40.0,0.1,79.2,79.9,95.47,64.9
".K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,5,14,100.0,46.4,53.6,41.7,0.63,12.5,50.0,88.9,73.3,0.3,58.3,59.3,95.91,123.1
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,7,14,115.2,63.6,51.5,56.3,1.80,19.1,35.7,86.7,62.1,0.2,58.3,60.7,113.66,77.9
".S. Curry, .O. Porter Jr., .K. Looney, .G. Payton II, .J. Poole",GSW,5,14,121.2,115.2,6.1,57.1,2.67,18.6,16.7,61.5,40.0,0.1,66.0,70.1,110.00,59.7
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II",GSW,3,11,70.8,121.7,-50.9,71.4,1.25,16.1,16.7,62.5,35.0,0.2,41.7,43.0,100.13,18.8
".N. Bjelica, .D. Lee, .J. Poole, .J. Kuminga, .M. Moody",GSW,2,11,152.2,72.7,79.4,69.2,4.50,27.3,20.0,84.6,66.7,0.1,83.3,84.8,98.78,86.1
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .G. Payton II",GSW,4,11,104.0,100.0,4.0,50.0,2.00,17.1,28.6,60.0,41.7,0.1,50.0,50.0,109.51,45.5
