LINEUPS,TEAM,GP,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP"
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .K. Looney",GSW,15,172,44,67,61,158,47,42,44,120
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .J. Poole",GSW,19,104,44,26,42,124,24,37,21,108
".S. Curry, .K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins",GSW,11,72,21,20,18,58,40,24,16,60
".K. Thompson, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,7,45,26,17,6,28,15,8,13,48
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Poole",GSW,14,39,16,12,18,38,13,8,11,40
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,10,33,13,12,9,26,13,14,0,14
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .G. Payton II",GSW,9,27,15,7,5,28,20,6,3,28
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .J. Kuminga",GSW,6,25,5,4,7,36,10,4,19,26
".N. Bjelica, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,5,23,4,8,4,16,5,3,10,22
".K. Thompson, .O. Porter Jr., .K. Looney, .D. Lee, .J. Poole",GSW,4,21,9,2,0,10,6,5,4,24
".N. Bjelica, .K. Thompson, .D. Green, .A. Wiggins, .J. Poole",GSW,5,19,10,0,5,10,4,7,0,14
".S. Curry, .K. Thompson, .O. Porter Jr., .K. Looney, .J. Poole",GSW,7,18,2,7,2,20,5,4,12,18
".S. Curry, .D. Green, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,5,17,9,6,7,32,15,2,7,12
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .G. Payton II",GSW,4,15,11,2,7,8,2,7,0,12
".S. Curry, .O. Porter Jr., .K. Looney, .G. Payton II, .J. Poole",GSW,5,14,12,3,5,14,2,7,5,10
".K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,5,14,3,10,2,10,3,2,0,6
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,7,14,5,5,4,24,0,0,2,14
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II",GSW,3,11,4,0,1,8,5,4,3,14
".S. Curry, .K. Thompson, .D. Green, .O. Porter Jr., .G. Payton II",GSW,4,11,11,0,4,14,0,0,0,2
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .G. Payton II",GSW,4,11,0,8,0,18,2,5,8,12
".N. Bjelica, .D. Lee, .J. Poole, .J. Kuminga, .M. Moody",GSW,2,11,2,2,4,16,4,3,4,10
".D. Lee, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,5,10,2,0,0,4,8,2,3,8
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,5,9,0,0,0,6,15,7,5,10
".A. Iguodala, .N. Bjelica, .K. Thompson, .O. Porter Jr., .J. Poole",GSW,2,9,3,0,0,6,2,0,0,8
".K. Thompson, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,2,7,4,6,6,6,2,0,0,6
".S. Curry, .A. Wiggins, .K. Looney, .D. Lee, .J. Poole",GSW,3,7,0,3,3,8,4,0,6,14
".K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,5,7,1,3,0,2,0,1,0,8
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney",GSW,4,7,0,0,0,8,2,3,0,0
".K. Thompson, .O. Porter Jr., .K. Looney, .J. Poole, .M. Moody",GSW,2,7,0,4,0,10,0,0,2,4
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .J. Poole",GSW,2,7,0,0,0,4,2,3,0,4
".K. Thompson, .O. Porter Jr., .K. Looney, .G. Payton II, .J. Poole",GSW,3,7,0,3,0,4,2,2,0,6
".N. Bjelica, .K. Thompson, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,1,7,4,4,0,6,2,2,4,6
".S. Curry, .N. Bjelica, .K. Thompson, .D. Green, .A. Wiggins",GSW,3,7,0,0,0,4,0,6,0,2
".S. Curry, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,3,7,0,0,2,4,4,4,0,4
".S. Curry, .D. Green, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,3,7,2,5,2,10,3,3,0,4
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,1,6,2,4,0,10,0,0,0,2
