LINEUPS,TEAM,GP,MIN,"OPP
FGM","OPP
FGA","OPP
FG%","OPP
3PM","OPP
3PA","OPP
3P%","OPP
FTM","OPP
FTA","OPP
FT%","OPP
OREB","OPP
DREB","OPP
REB","OPP
AST","OPP
TOV","OPP
STL","OPP
BLK","OPP
BLKA","OPP
PF","OPP
PFD","OPP
PTS",+/-
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .K. Looney",GSW,15,172,120,301,39.9,49,140,35.0,52,73,71.2,27,115,142,85,41,19,14,15,58,68,341,-64
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .J. Poole",GSW,19,104,88,198,44.4,26,77,33.8,43,59,72.9,32,72,104,51,31,13,17,16,51,57,245,-42
".S. Curry, .K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins",GSW,11,72,62,129,48.1,24,52,46.2,25,29,86.2,17,41,58,34,20,9,3,6,30,33,173,-18
".K. Thompson, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,7,45,36,77,46.8,8,23,34.8,12,13,92.3,11,29,40,22,14,7,6,4,16,20,92,-12
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Poole",GSW,14,39,37,76,48.7,16,36,44.4,5,12,41.7,7,25,32,21,9,6,5,4,17,16,95,-8
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,10,33,21,65,32.3,13,40,32.5,6,8,75.0,10,21,31,15,9,3,1,2,14,14,61,-16
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .G. Payton II",GSW,9,27,23,54,42.6,9,19,47.4,17,25,68.0,9,18,27,15,9,7,1,1,10,15,72,16
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .J. Kuminga",GSW,6,25,26,45,57.8,13,24,54.2,7,10,70.0,3,19,22,22,7,5,7,3,7,9,72,21
".N. Bjelica, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,5,23,15,37,40.5,2,17,11.8,9,14,64.3,1,19,20,8,8,6,1,1,6,9,41,-5
".K. Thompson, .O. Porter Jr., .K. Looney, .D. Lee, .J. Poole",GSW,4,21,16,38,42.1,4,13,30.8,10,10,100,4,10,14,9,4,4,2,0,6,9,46,-1
".N. Bjelica, .K. Thompson, .D. Green, .A. Wiggins, .J. Poole",GSW,5,19,16,37,43.2,6,16,37.5,3,5,60.0,4,15,19,12,6,3,4,0,7,9,41,3
".S. Curry, .K. Thompson, .O. Porter Jr., .K. Looney, .J. Poole",GSW,7,18,17,38,44.7,8,17,47.1,8,12,66.7,6,16,22,9,2,4,1,2,6,8,50,9
".S. Curry, .D. Green, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,5,17,11,30,36.7,5,13,38.5,9,9,100,2,9,11,8,6,5,0,1,11,9,36,-11
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .G. Payton II",GSW,4,15,12,25,48.0,5,10,50.0,1,4,25.0,4,8,12,10,7,3,2,2,4,4,30,-14
".S. Curry, .O. Porter Jr., .K. Looney, .G. Payton II, .J. Poole",GSW,5,14,12,24,50.0,6,10,60.0,8,9,88.9,5,10,15,8,9,1,1,1,8,5,38,-2
".K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,5,14,5,23,21.7,1,11,9.1,2,3,66.7,1,6,7,3,4,3,0,2,7,10,13,-16
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,7,14,10,25,40.0,0,10,0.0,1,1,100,0,7,7,4,5,2,1,0,3,4,21,-17
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II",GSW,3,11,9,16,56.3,2,4,50.0,8,13,61.5,1,10,11,6,3,2,1,1,6,8,28,11
".S. Curry, .K. Thompson, .D. Green, .O. Porter Jr., .G. Payton II",GSW,4,11,3,13,23.1,0,5,0.0,2,2,100,0,6,6,2,9,0,0,1,4,3,8,-21
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .G. Payton II",GSW,4,11,8,17,47.1,2,5,40.0,7,10,70.0,3,10,13,3,7,1,1,1,1,9,25,-1
".N. Bjelica, .D. Lee, .J. Poole, .J. Kuminga, .M. Moody",GSW,2,11,6,18,33.3,1,9,11.1,3,4,75.0,2,4,6,4,3,2,1,0,4,2,16,-19
".D. Lee, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,5,10,8,16,50.0,4,9,44.4,5,5,100,1,5,6,5,1,3,0,1,2,3,25,18
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,5,9,8,22,36.4,3,14,21.4,3,5,60.0,5,7,12,6,3,5,2,1,2,4,22,10
".A. Iguodala, .N. Bjelica, .K. Thompson, .O. Porter Jr., .J. Poole",GSW,2,9,6,12,50.0,2,7,28.6,6,6,100,0,4,4,5,3,1,1,3,8,5,20,-1
".K. Thompson, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,2,7,4,12,33.3,1,5,20.0,0,0,0.0,1,7,8,4,3,1,1,1,4,2,9,-5
".S. Curry, .A. Wiggins, .K. Looney, .D. Lee, .J. Poole",GSW,3,7,9,14,64.3,2,5,40.0,0,1,0.0,0,6,6,7,3,2,0,1,5,1,20,-1
".K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,5,7,6,13,46.2,1,5,20.0,3,4,75.0,1,4,5,2,1,1,3,0,1,3,16,-1
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney",GSW,4,7,6,12,50.0,5,9,55.6,4,4,100,0,3,3,5,1,1,1,1,1,3,21,5
".K. Thompson, .O. Porter Jr., .K. Looney, .J. Poole, .M. Moody",GSW,2,7,4,8,50.0,2,3,66.7,5,6,83.3,1,3,4,3,1,0,1,0,2,4,15,-3
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .J. Poole",GSW,2,7,6,13,46.2,4,7,57.1,0,0,0.0,1,6,7,4,1,1,1,1,2,0,16,7
".K. Thompson, .O. Porter Jr., .K. Looney, .G. Payton II, .J. Poole",GSW,3,7,5,15,33.3,2,8,25.0,4,6,66.7,5,6,11,3,0,0,2,1,1,5,16,4
".N. Bjelica, .K. Thompson, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,1,7,7,10,70.0,4,6,66.7,3,4,75.0,1,4,5,5,2,1,1,1,4,2,21,9
".S. Curry, .N. Bjelica, .K. Thompson, .D. Green, .A. Wiggins",GSW,3,7,5,15,33.3,3,6,50.0,3,3,100,2,8,10,4,0,2,2,1,2,4,16,8
".S. Curry, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,3,7,4,15,26.7,1,7,14.3,3,3,100,3,3,6,2,0,3,0,2,2,3,12,-7
".S. Curry, .D. Green, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,3,7,4,10,40.0,2,4,50.0,2,4,50.0,1,3,4,3,3,1,0,0,8,2,12,-8
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,1,6,5,9,55.6,4,7,57.1,0,0,0.0,0,4,4,4,1,0,0,1,4,2,14,0
".A. Iguodala, .K. Thompson, .D. Green, .O. Porter Jr., .J. Poole",GSW,1,6,7,11,63.6,4,5,80.0,2,2,100,1,5,6,4,1,0,0,0,2,1,20,5
".S. Curry, .K. Thompson, .D. Green, .O. Porter Jr., .J. Poole",GSW,7,6,6,14,42.9,1,3,33.3,4,6,66.7,5,7,12,3,1,0,0,1,3,5,17,3
".G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,2,6,6,12,50.0,3,8,37.5,0,0,0.0,0,4,4,3,3,1,0,1,4,0,15,1
".K. Thompson, .D. Green, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,1,6,4,8,50.0,1,4,25.0,1,2,50.0,0,3,3,4,1,0,0,0,5,1,10,-3
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,3,6,4,12,33.3,2,6,33.3,0,0,0.0,4,2,6,3,4,1,0,0,1,2,10,-1
".A. Iguodala, .S. Curry, .K. Thompson, .A. Wiggins, .J. Poole",GSW,3,6,6,8,75.0,0,0,0.0,2,3,66.7,1,5,6,3,4,0,0,1,5,2,14,2
".K. Thompson, .K. Looney, .J. Poole, .J. Kuminga, .M. Moody",GSW,1,6,6,11,54.5,2,5,40.0,3,4,75.0,1,6,7,4,0,1,0,1,0,3,17,8
".K. Thompson, .O. Porter Jr., .G. Payton II, .J. Poole, .J. Kuminga",GSW,1,6,3,9,33.3,2,4,50.0,1,1,100,1,2,3,1,2,2,1,2,2,2,9,-5
".A. Iguodala, .S. Curry, .K. Thompson, .D. Green, .O. Porter Jr.",GSW,2,6,5,8,62.5,2,4,50.0,2,2,100,0,3,3,4,2,1,1,1,3,3,14,-3
".N. Bjelica, .K. Thompson, .D. Green, .G. Payton II, .J. Poole",GSW,1,6,3,8,37.5,0,2,0.0,3,4,75.0,1,5,6,2,3,0,1,0,1,5,9,1
".S. Curry, .K. Thompson, .D. Green, .J. Poole, .J. Kuminga",GSW,3,5,4,10,40.0,0,2,0.0,1,2,50.0,1,5,6,0,3,1,1,1,2,1,9,-4
".K. Thompson, .D. Green, .O. Porter Jr., .D. Lee, .J. Poole",GSW,1,5,7,10,70.0,4,5,80.0,3,3,100,1,3,4,6,4,1,0,1,0,5,21,12
".K. Thompson, .D. Green, .A. Wiggins, .D. Lee, .J. Poole",GSW,3,5,3,11,27.3,1,3,33.3,0,0,0.0,3,7,10,1,2,1,0,1,2,0,7,4
".N. Bjelica, .K. Thompson, .D. Green, .J. Poole, .M. Moody",GSW,1,5,4,9,44.4,1,4,25.0,0,0,0.0,0,2,2,2,1,1,1,0,2,1,9,-8
".K. Thompson, .A. Wiggins, .K. Looney, .D. Lee, .J. Poole",GSW,2,4,4,10,40.0,1,2,50.0,2,2,100,1,2,3,4,0,0,0,2,0,2,11,4
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .G. Payton II",GSW,3,4,1,6,16.7,0,5,0.0,2,3,66.7,1,0,1,1,1,1,0,0,2,2,4,-9
".K. Looney, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,1,4,4,8,50.0,2,4,50.0,1,1,100,1,2,3,4,1,0,0,1,3,1,11,-3
".D. Green, .O. Porter Jr., .A. Wiggins, .D. Lee, .J. Poole",GSW,2,4,3,8,37.5,1,2,50.0,0,0,0.0,1,2,3,2,1,0,1,1,2,1,7,-9
".S. Curry, .K. Thompson, .D. Green, .A. Wiggins, .M. Moody",GSW,2,4,4,5,80.0,2,2,100,5,6,83.3,0,1,1,1,0,1,0,0,1,4,15,1
".S. Curry, .D. Green, .A. Wiggins, .D. Lee, .M. Moody",GSW,1,4,5,7,71.4,4,6,66.7,0,0,0.0,0,4,4,4,0,0,1,0,2,0,14,5
".A. Iguodala, .S. Curry, .D. Green, .O. Porter Jr., .G. Payton II",GSW,2,4,2,8,25.0,1,2,50.0,1,2,50.0,3,3,6,2,1,0,1,0,1,1,6,-5
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,1,4,2,6,33.3,0,3,0.0,6,6,100,2,0,2,1,3,0,0,0,2,3,10,-6
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .J. Kuminga",GSW,1,4,1,7,14.3,1,5,20.0,0,0,0.0,2,1,3,0,1,0,1,0,1,1,3,-5
".S. Curry, .D. Green, .A. Wiggins, .J. Poole, .M. Moody",GSW,2,3,2,6,33.3,1,3,33.3,1,1,100,1,1,2,1,1,0,0,0,1,1,6,0
".N. Bjelica, .K. Thompson, .D. Green, .D. Lee, .J. Poole",GSW,1,3,4,5,80.0,1,2,50.0,2,3,66.7,0,3,3,3,0,0,1,0,0,2,11,2
".N. Bjelica, .K. Thompson, .A. Wiggins, .K. Looney, .J. Poole",GSW,1,3,2,3,66.7,1,2,50.0,5,6,83.3,0,1,1,0,0,0,0,0,1,3,10,3
